##### SOL OUTFITS #####
# See 'outfit notes.txt' for index and sort methods
#
#	[118] Sol
#		[00] Reactors
#			[1] Codex Corp
outfit "KW.CDX-FE-100 Fuel Cell"
	"display name" "CDX-FE-100 Fuel Cell"
	category "Power"
	series "Generators"
	index 11800100
	cost 65000
	thumbnail "outfit/CDX-FE-100 fuel cell"
	"mass" 15
	"outfit space" -15
	"energy generation" 1.08
	"heat generation" 1.83
	description "Highly laminated membrane fuel cells are relatively simple to make and can host a wide variety of reactants, allowing it to be installed in small vessels that cannot afford more complex operations. Technically, fuel used for power generation is not a infinite resource, so this is truly a glorified battery, but let's not question the specifications."

outfit "KW.CDX-FE-200 Fuel Cell"
	"display name" "CDX-FE-200 Fuel Cell"
	category "Power"
	series "Generators"
	index 11800110
	cost 140000
	thumbnail "outfit/CDX-FE-200 fuel cell"
	"mass" 32
	"outfit space" -32
	"energy generation" 2.58
	"heat generation" 4.40
	description "Placing multiple cell modules allows one cell to recharge another, freeing space used by internal charge banks for a greater throughput."

outfit "KW.CDX-FE-300 Fuel Chamber"
	"display name" "CDX-FE-300 Fuel Chamber"
	category "Power"
	series "Generators"
	index 11800120
	licenses
		"KW.Codex"
	cost 420000
	thumbnail "outfit/CDX-FE-300 fuel chamber"
	"mass" 66
	"outfit space" -66
	"energy generation" 9.25
	"heat generation" 8
	description "At a certain size, the reactions produce enough heat to catalyze further reactions just short of combustion, granting higher energy output at the edge of risking reactant leaks."

outfit "KW.CDX-FE-400 Fuel Reactor"
	"display name" "CDX-FE-400 Fuel Reactor"
	category "Power"
	series "Generators"
	index 11800130
	licenses
		"KW.Codex"
	cost 1150000
	thumbnail "outfit/CDX-FE-400 fuel reactor"
	"mass" 124
	"outfit space" -124
	"energy generation" 22.22
	"heat generation" 18.50
	description "Seriously, if you have reached the point of combusting chemicals for juice, you could consider other reactor types. Any larger, and your ship shall be a reactor. Nevertheless, the higher energies coupled with Codex's proprietary fuel mix produces output on par with top of the line reaction chambers. "

#		[01] Power (Solar)
#			[1] Codex Corp
outfit "KW.CDX-PV-100 Photovoltaic Cell"
	"display name" "CDX-PV-100 Photovoltaic Cell"
	category "Power"
	series "Solar"
	index 11801100
	cost 10000
	thumbnail "outfit/CDX-PV-100 pv cell"
	"mass" 2
	"outfit space" -3
	"solar collection" .2
	"solar heat" .1
	description "The photovoltaic cell is one of the most rudimentary of energy generation systems, harnessing the star's energy for power gain. You can place it almost anywhere on the ship's exterior."

outfit "KW.CDX-PV-200 Photovoltaic Array"
	"display name" "CDX-PV-200 Photovoltaic Array"
	category "Power"
	series "Solar"
	index 11801110
	cost 85000
	thumbnail "outfit/CDX-PV-200 pv array"
	"mass" 16
	"outfit space" -21
	"solar collection" 1.6
	"solar heat" 1
	description "For larger vessels, coupling multiple cells together allows for a more compact design. In addition, a centralized computer manages the panels, tilting them towards the direction of the most illumination, granting a further bonus to generation."

#		[02] Power (Storage)
#			[1] Codex Corp
outfit "KW.CDX-CP-100 Capacitor Array"
	"display name" "CDX-CP-100 Capacitor Array"
	category "Power"
	series "Batteries"
	index 901010
	cost 5000
	thumbnail "outfit/Sol-battery-wip"
	"mass" 2
	"outfit space" -2
	"energy capacity" 750
	description "Constant power generation usually fulfills a ship's energy needs. However, generators are expensive, and some systems may require a burst of power beyond generation output. In such a scenario, a captain may find it wise to invest in some energy storage."

